ID,Category,Gender,Urgency,Duration,Amount,Locality
1,Medical,Male,Immediate,Monthly,5000,Rural
2,Medical,Female,Oneweek,Quarterly,10000,Rural
3,DisasterRF,Female,Twoweeks,Annually,18000,Suburban
4,DisasterRF,Male,Oneweek,Annually,15000,Suburban
5,Education,Male,Immediate,Quarterly,15000,Urban
6,DisasterRF,Male,Oneweek,Monthly,5000,Suburban
7,Women,Female,Oneweek,Annually,3000,Suburban
8,Women,Female,Immediate,Monthly,6000,Rural
9,OldAge,Female,Oneweek,Quarterly,13000,Urban
10,FoodForNeed,Female,Twoweeks,Monthly,6000,Urban
11,DisasterRF,Male,Immediate,Quarterly,15000,Rural
12,DisasterRF,Female,Oneweek,Monthly,8000,Rural
13,Women,Male,Immediate,Monthly,3000,Rural
14,Medical,Female,Immediate,Annually,11000,Suburban
15,Medical,Female,Immediate,Annually,9000,Rural
16,DisasterRF,Male,Oneweek,Monthly,18000,Rural
17,DisasterRF,Female,Twoweeks,Annually,8000,Rural
18,Education,Female,Immediate,Monthly,19000,Suburban
19,DisasterRF,Female,Twoweeks,Quarterly,14000,Urban
20,Women,Male,Oneweek,Annually,1000,Rural
21,Women,Female,Twoweeks,Monthly,17000,Suburban
22,OldAge,Male,Twoweeks,Quarterly,3000,Rural
23,FoodForNeed,Male,Immediate,Annually,1000,Rural
24,Education,Female,Oneweek,Annually,2000,Suburban
25,Women,Female,Oneweek,Annually,17000,Suburban
26,DisasterRF,Female,Twoweeks,Quarterly,5000,Urban
27,DisasterRF,Female,Immediate,Annually,15000,Suburban
28,Medical,Female,Oneweek,Monthly,7000,Suburban
29,DisasterRF,Female,Twoweeks,Annually,19000,Suburban
30,DisasterRF,Male,Twoweeks,Annually,20000,Suburban
31,Education,Male,Oneweek,Quarterly,1000,Suburban
32,DisasterRF,Male,Immediate,Annually,20000,Urban
33,Women,Male,Twoweeks,Annually,4000,Suburban
34,Women,Female,Oneweek,Annually,11000,Urban
35,OldAge,Male,Oneweek,Monthly,15000,Rural
36,FoodForNeed,Male,Oneweek,Quarterly,5000,Rural
37,OldAge,Female,Oneweek,Monthly,18000,Urban
38,OldAge,Male,Immediate,Quarterly,2000,Rural
39,OldAge,Male,Twoweeks,Monthly,5000,Rural
40,Education,Male,Immediate,Monthly,3000,Rural
41,Education,Female,Oneweek,Annually,17000,Rural
42,Education,Female,Twoweeks,Quarterly,1000,Urban
43,Education,Female,Twoweeks,Annually,11000,Suburban
44,OldAge,Female,Oneweek,Monthly,1000,Rural
45,Medical,Male,Twoweeks,Annually,4000,Rural
46,Medical,Female,Immediate,Monthly,9000,Rural
47,DisasterRF,Male,Immediate,Quarterly,7000,Suburban
48,DisasterRF,Male,Twoweeks,Quarterly,11000,Rural
49,Education,Female,Oneweek,Quarterly,5000,Suburban
50,DisasterRF,Male,Immediate,Annually,6000,Rural
51,Women,Male,Twoweeks,Monthly,4000,Urban
52,Women,Female,Twoweeks,Annually,14000,Suburban
53,OldAge,Male,Oneweek,Annually,15000,Suburban
54,FoodForNeed,Male,Oneweek,Quarterly,3000,Rural
55,OldAge,Male,Oneweek,Monthly,13000,Suburban
56,Medical,Female,Twoweeks,Monthly,10000,Suburban
57,Medical,Male,Oneweek,Annually,14000,Suburban
58,DisasterRF,Female,Oneweek,Quarterly,4000,Suburban
59,DisasterRF,Female,Twoweeks,Monthly,19000,Urban
